,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90,-100,-110,-120,-130,-140,-150,-160,-170,-180
0,-249929.69102307348,-249929.3524043775,-249928.81509868696,-249927.99205814398,-249926.96088023417,-249925.93166980942,-249925.1415386974,-249924.91488478688,-249925.55782488882,-249926.7874690364,-249928.18563301617,-249929.4194948771,-249930.3157486615,-249930.71588923928,-249930.5666138879,-249930.05542085375,-249929.31926064705,-249928.52067106115,-249927.92010148463,-249927.7609701389,-249928.11458243735,-249928.8453444092,-249929.74309657668,-249930.52949332958,-249931.0220148199,-249931.14577028857,-249931.0298310164,-249930.5432579208,-249929.75379301084,-249928.85442939505,-249928.11003371983,-249927.76762005952,-249927.93028067247,-249928.51780425312,-249929.31355088472,-249930.06078892454,-249930.57930987072,-249930.7170586629,-249930.32312215638,-249929.45608546934,-249928.18518684266,-249926.79695722082,-249925.5608588406,-249924.9234693235,-249925.17652970614,-249925.95567825643,-249926.98102917458,-249928.00122918928,-249928.82045463548,-249929.33746838057,-249929.64251889233,-249929.92097921422,-249929.9446184948,-249929.5340490353,-249928.82582781298,-249928.3963486943,-249928.44124942526,-249928.92527735763,-249929.64207700675,-249930.3791499444,-249930.92253264997,
