,Conformer,-70,-80,-90,-100,-110,-120,-130,-140,-150,-160,-170,-180,-170.1,-160.1,-150.1,-140.1,-130.1,-120.1,-110.1,-100.1,-90.1,-80.1,-70.1,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
0,0,-249929.69102246175,-249929.92172625745,-249929.94922831355,-249929.52377097888,-249928.82787615855,-249928.35785180356,-249928.45096253583,-249928.936191935,-249929.64307966703,-249930.3616150605,-249930.92647809855,,-249930.91442378587,-249930.38166382984,-249929.64515842948,-249928.91959109067,-249928.429624286,-249928.35544057583,-249928.81351261024,-249929.5160326592,-249929.945497499,-249929.89867288485,-249929.69146826476,-249929.3563769556,-249928.8154449366,-249927.9971311181,-249926.9626808035,-249925.93064716505,-249925.14623604447,-249924.9118802308,-249925.55135479235,-249926.7814429542,-249928.17261401916,-249929.40336887716,-249930.3333023643,-249930.71466445675,-249930.57946772545,-249930.08528222432,-249929.31986096536,-249928.5192607338,-249927.93306016465,-249927.76727736276,-249928.10508979863,-249928.86216025797,-249929.75224307872,-249930.53443010323,-249931.0278702461,-249931.1345695025
