,80,90,100,110,120,130,140,150,160,170,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90,-100,-110,-120,-130,-140,-150,-160,-170,-180
0,-249929.26748540884,-249928.57001837922,-249927.7954633872,-249927.15900704972,-249926.99310339958,-249927.19349174734,-249927.66561441935,-249928.314003754,-249929.01626083974,-249929.57206946734,,-249929.57207130472,-249929.02186150663,-249928.31866632763,-249927.69747085538,-249927.18356039634,-249927.01281546304,-249927.13276675282,-249927.7840292717,-249928.5760086528,-249929.27996595812,-249929.79120036756,-249930.0586021226,-249929.85256528525,-249929.0513818258,-249927.88268607,-249926.69240760055,-249925.8279161293,-249925.6591405851,-249926.31531211225,-249927.6043537797,-249929.1577565796,-249930.48818468055,-249931.21715178085,-249931.23046977902,-249930.64134838362,-249929.78247212438,-249928.86543519498,-249927.9887043362,-249927.36171323474,-249927.152853484,-249927.4236120299,-249928.05464519188,-249928.82611100684,-249929.4738927366,-249929.84136523688,
