,Conformer,80,90,100,110,120,130,140,150,160,170,180,170.1,160.1,150.1,140.1,130.1,120.1,110.1,100.1,90.1,80.1,70,60,50,40,30,20,10,0,-10,-20,-30,-40,-50,-60,-70,-80,-90,-100,-110,-120,-130,-140,-150,-160,-170,-180
0,0,-249929.26748540884,-249928.5700183792,-249927.7954633872,-249927.1590070497,-249926.9931033996,-249927.1934917473,-249927.66561441933,-249928.314003754,-249929.0162608397,-249929.5720694673,,-249929.57207130472,-249929.02186150663,-249928.31866632763,-249927.69747085535,-249927.18356039637,-249927.01281546304,-249927.1327667528,-249927.7840292717,-249928.5760086528,-249929.2799659581,-249929.7912003676,-249930.0586021226,-249929.85256528523,-249929.0513818258,-249927.88268607,-249926.69240760052,-249925.8279161293,-249925.6591405851,-249926.31531211225,-249927.6043537797,-249929.1577565796,-249930.48818468052,-249931.21715178085,-249931.23046977905,-249930.6413483836,-249929.7824721244,-249928.86543519495,-249927.9887043362,-249927.36171323477,-249927.152853484,-249927.4236120299,-249928.05464519188,-249928.82611100684,-249929.4738927366,-249929.84136523688,
