,0
0,-0.5518199855439618
1,0.6469437514891021
2,-0.5810633207643319
3,-0.04143179914766631
4,0.12336224800914335
5,-0.5751440831858688
6,0.6746098196269035
7,-0.37618601085609593
8,-0.553279665246011
9,-0.05846767774792916
10,0.27827951180689087
11,-0.3386963957817897
12,0.3152783821465926
13,-0.03214073381587677
14,-0.01052648875017587
15,-0.01256061448301934
16,0.01119191465593742
17,0.05389113036547432
18,0.6367742823852633
19,-0.5841591935210715
20,-0.004565695732726014
21,-0.5394739095945384
22,-0.5616926355319243
23,0.656007993752241
24,-0.339527685166403
25,-0.5461839798530865
26,-0.29372220660658405
27,-0.28617067655704803
28,0.3037619553875005
29,0.07405341436032786
30,0.07405341436032786
31,0.07405341436032786
32,0.05053414546132348
33,0.288314285483688
34,0.11725598208848652
35,0.11725598208848652
36,0.11725598208848652
37,0.040082428055218666
38,0.040082428055218666
39,0.16495205075984393
40,0.06451628143511255
41,0.06451628143511255
42,0.021975768916029467
43,0.021975768916029467
44,0.023526423103700993
45,0.023526423103700993
46,0.01668772068324776
47,0.01668772068324776
48,0.07005534333968189
49,0.298555451340528
50,0.06473528030563849
51,0.06473528030563849
52,0.06473528030563849
53,0.2872611173091558
54,0.10844269997228687
55,0.10844269997228687
56,0.10844269997228687
